video_id,title,published_at,default_thumbnail_url,large_thumbnail_url
9kZ6MPqj9Tg,フラジール / Vivid BAD SQUAD,2020-12-03T09:00:21Z,https://i.ytimg.com/vi/9kZ6MPqj9Tg/default.jpg,https://i.ytimg.com/vi/9kZ6MPqj9Tg/hqdefault.jpg
vjCfKbwD17c,モア！ジャンプ！モア！ / MORE MORE JUMP！ × 初音ミク,2020-11-19T06:07:05Z,https://i.ytimg.com/vi/vjCfKbwD17c/default.jpg,https://i.ytimg.com/vi/vjCfKbwD17c/hqdefault.jpg
AL6hWKN0WQo,ステラ / Leo/need × 初音ミク,2020-11-16T10:06:28Z,https://i.ytimg.com/vi/AL6hWKN0WQo/default.jpg,https://i.ytimg.com/vi/AL6hWKN0WQo/hqdefault.jpg
kU4Rth300FM,ミラクルペイント / ワンダーランズ×ショウタイム × 初音ミク,2020-11-02T09:00:03Z,https://i.ytimg.com/vi/kU4Rth300FM/default.jpg,https://i.ytimg.com/vi/kU4Rth300FM/hqdefault.jpg
kNLyqES4fC8,携帯恋話 / 25時、ナイトコードで。 × 初音ミク,2020-10-15T06:11:23Z,https://i.ytimg.com/vi/kNLyqES4fC8/default.jpg,https://i.ytimg.com/vi/kNLyqES4fC8/hqdefault.jpg
zAkqd6iw-lo,ビバハピ / MORE MORE JUMP！ × 初音ミク,2020-10-11T06:00:10Z,https://i.ytimg.com/vi/zAkqd6iw-lo/default.jpg,https://i.ytimg.com/vi/zAkqd6iw-lo/hqdefault.jpg
esaV1kjzg_Q,Just Be Friends / バーチャル・シンガーver.（巡音ルカ）,2020-10-03T18:29:02Z,https://i.ytimg.com/vi/esaV1kjzg_Q/default.jpg,https://i.ytimg.com/vi/esaV1kjzg_Q/hqdefault.jpg
wNxrGUf6G0A,命に嫌われている。 / アナザーver. by 宵崎奏（25時、ナイトコードで。）,2020-09-29T10:41:56Z,https://i.ytimg.com/vi/wNxrGUf6G0A/default.jpg,https://i.ytimg.com/vi/wNxrGUf6G0A/hqdefault.jpg
F7iqxHOth58,命に嫌われている。 / 25時、ナイトコードで。 × 初音ミク,2020-09-29T10:41:56Z,https://i.ytimg.com/vi/F7iqxHOth58/default.jpg,https://i.ytimg.com/vi/F7iqxHOth58/hqdefault.jpg
xkEAHFqkJuY,『ロストエンファウンド』3DMVゲームサイズ公開！,2022-08-15T06:04:55Z,https://i.ytimg.com/vi/xkEAHFqkJuY/default.jpg,https://i.ytimg.com/vi/xkEAHFqkJuY/hqdefault.jpg
YF3cVIzd0oc,『街』3DMVゲームサイズ公開！,2022-07-19T13:06:59Z,https://i.ytimg.com/vi/YF3cVIzd0oc/default.jpg,https://i.ytimg.com/vi/YF3cVIzd0oc/hqdefault.jpg
JsORTuF4438,『メリュー』3DMVゲームサイズ公開！,2022-07-04T06:04:25Z,https://i.ytimg.com/vi/JsORTuF4438/default.jpg,https://i.ytimg.com/vi/JsORTuF4438/hqdefault.jpg
22x2JzhqKnI,『星空のメロディー』3DMVゲームサイズ公開！,2022-06-28T13:12:26Z,https://i.ytimg.com/vi/22x2JzhqKnI/default.jpg,https://i.ytimg.com/vi/22x2JzhqKnI/hqdefault.jpg
8q-iWdjIbB0,『ヴァンパイア』3DMVゲームサイズ公開！,2022-06-20T06:56:42Z,https://i.ytimg.com/vi/8q-iWdjIbB0/default.jpg,https://i.ytimg.com/vi/8q-iWdjIbB0/hqdefault.jpg
cb1s5_U0wd0,『神のまにまに』3DMVゲームサイズ公開！,2022-06-03T02:44:19Z,https://i.ytimg.com/vi/cb1s5_U0wd0/default.jpg,https://i.ytimg.com/vi/cb1s5_U0wd0/hqdefault.jpg
VsfcS_-b4j8,『イフ』3DMVゲームサイズ公開！,2022-05-08T12:45:38Z,https://i.ytimg.com/vi/VsfcS_-b4j8/default.jpg,https://i.ytimg.com/vi/VsfcS_-b4j8/hqdefault.jpg
eEs1PD_33EM,『オーダーメイド』3DMVゲームサイズ公開！,2022-04-28T13:07:30Z,https://i.ytimg.com/vi/eEs1PD_33EM/default.jpg,https://i.ytimg.com/vi/eEs1PD_33EM/hqdefault.jpg
VgRSxoqClkw,『PaⅢ.SENSATION』3DMVゲームサイズ公開！,2022-04-18T05:51:24Z,https://i.ytimg.com/vi/VgRSxoqClkw/default.jpg,https://i.ytimg.com/vi/VgRSxoqClkw/hqdefault.jpg
GcuRzFt7juI,『ノマド』3DMVゲームサイズ公開！,2022-03-29T09:19:55Z,https://i.ytimg.com/vi/GcuRzFt7juI/default.jpg,https://i.ytimg.com/vi/GcuRzFt7juI/hqdefault.jpg
v_VDb-gxF5Y,『いーあるふぁんくらぶ』3DMVゲームサイズ公開！,2022-03-16T09:49:21Z,https://i.ytimg.com/vi/v_VDb-gxF5Y/default.jpg,https://i.ytimg.com/vi/v_VDb-gxF5Y/hqdefault.jpg
Z21UcyNdXSQ,『Miku』3DMVゲームサイズ公開！,2022-06-27T06:15:48Z,https://i.ytimg.com/vi/Z21UcyNdXSQ/default.jpg,https://i.ytimg.com/vi/Z21UcyNdXSQ/hqdefault.jpg
5fQRNjyRuSY,『Flyer!』3DMVゲームサイズ公開！,2022-02-16T13:06:57Z,https://i.ytimg.com/vi/5fQRNjyRuSY/default.jpg,https://i.ytimg.com/vi/5fQRNjyRuSY/hqdefault.jpg
DsFlCC96EgU,『愛して愛して愛して』3DMVゲームサイズ公開！,2022-02-14T09:37:25Z,https://i.ytimg.com/vi/DsFlCC96EgU/default.jpg,https://i.ytimg.com/vi/DsFlCC96EgU/hqdefault.jpg
v7SYWS2jarw,『にっこり^^調査隊のテーマ』3DMVゲームサイズ公開！,2022-01-19T13:10:18Z,https://i.ytimg.com/vi/v7SYWS2jarw/default.jpg,https://i.ytimg.com/vi/v7SYWS2jarw/hqdefault.jpg
NpOR2QwvjPk,『少女レイ』3DMVゲームサイズ公開！,2022-02-01T07:22:50Z,https://i.ytimg.com/vi/NpOR2QwvjPk/default.jpg,https://i.ytimg.com/vi/NpOR2QwvjPk/hqdefault.jpg
rLt45Ylw5Ks,『ダンスロボットダンス』3DMVゲームサイズ公開！,2022-06-27T06:18:55Z,https://i.ytimg.com/vi/rLt45Ylw5Ks/default.jpg,https://i.ytimg.com/vi/rLt45Ylw5Ks/hqdefault.jpg
7y8ufRaaZC4,『ウミユリ海底譚』3DMVゲームサイズ公開！,2022-06-27T06:19:24Z,https://i.ytimg.com/vi/7y8ufRaaZC4/default.jpg,https://i.ytimg.com/vi/7y8ufRaaZC4/hqdefault.jpg
gQD4GfgIqZA,『ヴィラン』3DMVゲームサイズ公開！,2021-12-31T06:09:27Z,https://i.ytimg.com/vi/gQD4GfgIqZA/default.jpg,https://i.ytimg.com/vi/gQD4GfgIqZA/hqdefault.jpg
7ub8n1J8ruY,『ミライ』3DMVゲームサイズ公開！,2021-12-31T01:45:19Z,https://i.ytimg.com/vi/7ub8n1J8ruY/default.jpg,https://i.ytimg.com/vi/7ub8n1J8ruY/hqdefault.jpg
R3CGPv9oeDk,『からくりピエロ』3DMVゲームサイズ公開！,2021-11-29T06:05:21Z,https://i.ytimg.com/vi/R3CGPv9oeDk/default.jpg,https://i.ytimg.com/vi/R3CGPv9oeDk/hqdefault.jpg
BNdJWYHa_xg,『STAGE OF SEKAI』3DMVゲームサイズ公開！,2021-11-18T13:09:50Z,https://i.ytimg.com/vi/BNdJWYHa_xg/default.jpg,https://i.ytimg.com/vi/BNdJWYHa_xg/hqdefault.jpg
